ticket_id,true_reason,agent_code,double_payout,true_refund_inr,care_plus
T400265,,,N,,Y
T400266,,,N,,N
T400267,,,N,,N
T400268,,,N,,N
T400269,,,N,,N
T400270,,,N,,N
T400271,,,N,,Y
T400272,,,N,,Y
T400273,,,N,,Y
T400274,,,N,,N
T400275,,,N,,N
T400276,,,N,,N
T400277,,,N,,Y
T400278,,,N,,N
T400279,,,N,,Y
T400280,,,N,,N
T400281,,,N,,Y
T400282,,,N,,Y
T400283,GW-OTHER,GW-OTHER,N,400,N
T400284,,,N,,N
T400285,,,N,,N
T400286,,,N,,N
T400287,,,N,,N
T400288,,,N,,Y
T400289,,,N,,N
T400290,,,N,,N
T400291,,,N,,N
T400292,,,N,,N
T400293,RETURN-QC-OK,GW-OTHER,N,12348,Y
T400294,,,N,,N
T400295,,,N,,Y
T400296,LOST-TRANSIT,LOST-TRANSIT,N,5599,Y
T400297,CANCEL,CANCEL,N,5999,N
T400298,,,N,,Y
T400299,,,N,,Y
T400300,,,N,,N
T400301,,,N,,N
T400302,,,N,,Y
T400303,,,N,,Y
T400304,,,N,,Y
T400305,,,N,,Y
T400306,,,N,,Y
T400307,,,N,,N
T400308,,,N,,N
T400309,,,N,,Y
T400310,,,N,,N
T400311,,,N,,N
T400312,,,N,,Y
T400313,,,N,,N
T400314,LOST-TRANSIT,GW-OTHER,N,2374,N
T400315,,,N,,N
T400316,,,N,,N
T400317,,,N,,Y
T400318,,,N,,N
T400319,,,N,,N
T400320,,,N,,N
T400321,,,N,,Y
T400322,,,N,,N
T400323,,,N,,Y
T400324,,,N,,N
T400325,,,N,,N
T400326,,,N,,N
T400327,,,N,,Y
T400328,,,N,,N
T400329,DOA-REPL,GW-OTHER,N,1999,N
T400330,,,N,,Y
T400331,,,N,,N
T400332,,,N,,N
T400333,,,N,,Y
T400334,RETURN-QC-OK,GW-OTHER,N,5849,Y
T400335,,,N,,Y
T400336,,,N,,N
T400337,,,N,,N
T400338,,,N,,N
T400339,,,N,,N
T400340,GW-OTHER,GW-OTHER,N,250,Y
T400341,,,N,,N
T400342,,,N,,N
T400343,,,N,,N
T400344,,,N,,N
T400345,,,N,,Y
T400346,,,N,,N
T400347,,,N,,N
T400348,,,N,,Y
T400349,,,N,,Y
T400350,,,N,,Y
T400351,,,N,,N
T400352,,,N,,N
T400353,,,N,,N
T400354,,,N,,N
T400355,,,N,,N
T400356,RETURN-QC-OK,RETURN-QC-OK,N,1424,N
T400357,RETURN-QC-OK,RETURN-QC-OK,N,4499,N
T400358,,,N,,Y
T400359,,,N,,Y
T400360,,,N,,Y
T400361,,,N,,N
T400362,,,N,,N
T400363,,,N,,N
T400364,,,N,,N
T400365,,,N,,Y
T400366,,,N,,N
T400367,,,N,,N
T400368,,,N,,N
T400369,,,N,,N
T400370,,,N,,N
T400371,,,N,,Y
T400372,DOA-REPL,GW-OTHER,N,2374,N
T400373,,,N,,N
T400374,LOST-TRANSIT,GW-OTHER,N,1999,N
T400375,DOA-REPL,GW-OTHER,N,1619,N
T400376,,,N,,N
T400377,,,N,,N
T400378,,,N,,N
T400379,,,N,,Y
T400380,,,N,,N
T400381,,,N,,N
T400382,DOA-REPL,GW-OTHER,N,5699,N
T400383,,,N,,N
T400384,,,N,,N
T400385,,,N,,N
T400386,,,N,,Y
T400387,,,N,,N
T400388,,,N,,N
T400389,CANCEL,CANCEL,N,1799,N
T400390,,,N,,N
T400391,,,N,,N
T400392,,,N,,N
T400393,DOA-REPL,DOA-REPL,N,11698,Y
T400394,,,N,,N
T400395,,,N,,N
T400396,,,N,,N
T400397,,,N,,N
T400398,,,N,,N
T400399,,,N,,N
T400400,,,N,,N
T400401,DUP-PAYMENT,GW-OTHER,N,1039,N
T400402,,,N,,Y
T400403,,,N,,Y
T400404,,,N,,N
T400405,,,N,,N
T400406,,,N,,N
T400407,,,N,,N
T400408,,,N,,Y
T400409,,,N,,N
T400410,,,N,,Y
T400411,,,N,,N
T400412,,,N,,N
T400413,,,N,,N
T400414,,,N,,N
T400415,,,N,,N
T400416,,,N,,N
T400417,DOA-REPL,GW-OTHER,N,2249,N
T400418,,,N,,N
T400419,,,N,,N
T400420,DOA-REPL,DOA-REPL,N,5399,N
T400421,,,N,,Y
T400422,,,N,,N
T400423,,,N,,N
T400424,,,N,,N
T400425,,,N,,N
T400426,,,N,,N
T400427,,,N,,Y
T400428,,,N,,N
T400429,,,N,,N
T400430,,,N,,N
T400431,,,N,,Y
T400432,,,N,,N
T400433,DOA-REPL,GW-OTHER,N,2499,N
T400434,,,N,,Y
T400435,,,N,,N
T400436,,,N,,Y
T400437,,,N,,Y
T400438,,,N,,N
T400439,,,N,,N
T400440,,,N,,N
T400441,,,N,,N
T400442,LOST-TRANSIT,GW-OTHER,N,2499,Y
T400443,DOA-REPL,GW-OTHER,N,4749,N
T400444,,,N,,N
T400445,,,N,,N
T400446,,,N,,N
T400447,PRICE-ADJ,PRICE-ADJ,N,500,Y
T400448,,,N,,N
T400449,,,N,,Y
T400450,,,N,,Y
T400451,,,N,,Y
T400452,,,N,,N
T400453,,,N,,N
T400454,,,N,,N
T400455,,,N,,Y
T400456,,,N,,N
T400457,,,N,,Y
T400458,,,N,,N
T400459,DUP-PAYMENT,DUP-PAYMENT,N,5699,Y
T400460,,,N,,N
T400461,LOST-TRANSIT,GW-OTHER,N,2124,N
T400462,,,N,,Y
T400463,,,N,,N
T400464,,,N,,N
T400465,,,N,,N
T400466,,,N,,Y
T400467,,,N,,Y
T400468,,,N,,Y
T400469,,,N,,Y
T400470,,,N,,N
T400471,,,N,,N
T400472,,,N,,N
T400473,,,N,,N
T400474,,,N,,N
T400475,,,N,,N
T400476,,,N,,Y
T400477,,,N,,Y
T400478,,,N,,N
T400479,DOA-REPL,GW-OTHER,N,4749,N
T400480,,,N,,N
T400481,,,N,,Y
T400482,,,N,,Y
T400483,,,N,,N
T400484,,,N,,N
T400485,,,N,,N
T400486,RETURN-QC-OK,RETURN-QC-OK,N,6499,N
T400487,,,N,,N
T400488,,,N,,N
T400489,,,N,,N
T400490,,,N,,Y
T400491,,,N,,N
T400492,DUP-PAYMENT,DUP-PAYMENT,N,5524,N
T400493,,,N,,N
T400494,,,N,,Y
T400495,,,N,,N
T400496,,,N,,N
T400497,,,N,,N
T400498,LOST-TRANSIT,LOST-TRANSIT,N,6499,N
T400499,,,N,,N
T400500,,,N,,N
T400501,,,N,,N
T400502,,,N,,N
T400503,LOST-TRANSIT,LOST-TRANSIT,N,5399,N
T400504,,,N,,N
T400505,,,N,,N
T400506,,,N,,N
T400507,,,N,,N
T400508,,,N,,N
T400509,,,N,,Y
T400510,,,N,,Y
T400511,,,N,,N
T400512,,,N,,Y
T400513,CANCEL,CANCEL,N,1799,Y
T400514,,,N,,N
T400515,,,N,,N
T400516,,,N,,N
T400517,,,N,,N
T400518,,,N,,Y
T400519,,,N,,N
T400520,,,N,,N
T400521,DUP-PAYMENT,GW-OTHER,N,3999,N
T400522,,,N,,N
T400523,,,N,,N
T400524,,,N,,N
T400525,,,N,,N
T400526,DUP-PAYMENT,DUP-PAYMENT,N,5849,N
T400527,,,N,,N
T400528,,,N,,N
T400529,,,N,,N
T400530,,,N,,N
T400531,,,N,,N
T400532,DOA-REPL,GW-OTHER,N,10398,N
T400533,,,N,,N
T400534,,,N,,Y
T400535,,,N,,Y
T400536,,,N,,N
T400537,PRICE-ADJ,GW-OTHER,N,500,Y
T400538,,,N,,N
T400539,,,N,,N
T400540,LOST-TRANSIT,GW-OTHER,N,2499,Y
T400541,,,N,,Y
T400542,,,N,,N
T400543,,,N,,N
T400544,,,N,,N
T400545,,,N,,N
T400546,,,N,,N
T400547,,,N,,N
T400548,,,N,,N
T400549,,,N,,N
T400550,,,N,,N
T400551,,,N,,N
T400552,,,N,,N
T400553,,,N,,Y
T400554,,,N,,N
T400555,,,N,,Y
T400556,RETURN-QC-OK,GW-OTHER,N,13998,N
T400557,GW-OTHER,GW-OTHER,N,200,Y
T400558,,,N,,N
T400559,,,N,,N
T400560,,,N,,Y
T400561,,,N,,N
T400562,CANCEL,GW-OTHER,N,2499,N
T400563,,,N,,N
T400564,RETURN-QC-OK,GW-OTHER,N,2124,N
T400565,,,N,,N
T400566,,,N,,Y
T400567,,,N,,N
T400568,,,N,,N
T400569,,,N,,N
T400570,,,N,,N
T400571,,,N,,N
T400572,,,N,,N
T400573,,,N,,N
T400574,,,N,,N
T400575,,,N,,Y
T400576,,,N,,N
T400577,,,N,,N
T400578,,,N,,N
T400579,,,N,,Y
T400580,,,N,,Y
T400581,,,N,,N
T400582,,,N,,N
T400583,,,N,,N
T400584,,,N,,N
T400585,,,N,,N
T400586,,,N,,Y
T400587,,,N,,N
T400588,,,N,,Y
T400589,,,N,,N
T400590,,,N,,N
T400591,,,N,,Y
T400592,,,N,,N
T400593,,,N,,N
T400594,,,N,,N
T400595,,,N,,Y
T400596,,,N,,Y
T400597,,,N,,Y
T400598,,,N,,N
T400599,,,N,,N
T400600,CANCEL,CANCEL,N,13998,Y
T400601,,,N,,N
T400602,RETURN-QC-OK,GW-OTHER,N,4249,N
T400603,,,N,,N
T400604,,,N,,N
T400605,,,N,,Y
T400606,,,N,,N
T400607,,,N,,N
T400608,DOA-REPL,DOA-REPL,N,6499,N
T400609,,,N,,N
T400610,,,N,,N
T400611,,,N,,N
T400612,,,N,,N
T400613,,,N,,N
T400614,,,N,,N
T400615,,,N,,Y
T400616,,,N,,N
T400617,,,N,,Y
T400618,,,N,,N
T400619,,,N,,Y
T400620,CANCEL,GW-OTHER,N,2078,N
T400621,,,N,,N
T400622,,,N,,N
T400623,,,N,,N
T400624,,,N,,N
T400625,GW-OTHER,GW-OTHER,N,500,N
T400626,,,N,,N
T400627,,,N,,N
T400628,DUP-PAYMENT,GW-OTHER,N,1799,Y
T400629,,,N,,N
T400630,,,N,,N
T400631,RETURN-QC-OK,GW-OTHER,N,1439,N
T400632,,,N,,N
T400633,,,N,,N
T400634,DOA-REPL,GW-OTHER,N,4999,Y
T400635,,,N,,N
T400636,DOA-REPL,GW-OTHER,N,2499,Y
T400637,,,N,,N
T400638,,,N,,N
T400639,DOA-REPL,GW-OTHER,N,1799,Y
T400640,,,N,,Y
T400641,CANCEL,GW-OTHER,N,3999,Y
T400642,,,N,,N
T400643,,,N,,Y
T400644,,,N,,Y
T400645,,,N,,N
T400646,,,N,,N
T400647,,,N,,N
T400648,,,N,,N
T400649,,,N,,N
T400650,,,N,,N
T400651,,,N,,Y
T400652,,,N,,Y
T400653,,,N,,N
T400654,,,N,,N
T400655,,,N,,N
T400656,,,N,,N
T400657,,,N,,Y
T400658,,,N,,Y
T400659,RETURN-QC-OK,RETURN-QC-OK,N,2124,N
T400660,,,N,,Y
T400661,,,N,,Y
T400662,,,N,,N
T400663,,,N,,N
T400664,,,N,,Y
T400665,,,N,,N
T400666,,,N,,Y
T400667,,,N,,Y
T400668,GW-OTHER,GW-OTHER,N,500,N
T400669,,,N,,N
T400670,,,N,,Y
T400671,,,N,,N
T400672,,,N,,N
T400673,,,N,,Y
T400674,,,N,,N
T400675,,,N,,N
T400676,,,N,,Y
T400677,,,N,,Y
T400678,,,N,,N
T400679,,,N,,N
T400680,DOA-REPL,GW-OTHER,N,1999,N
T400681,,,N,,Y
T400682,,,N,,Y
T400683,,,N,,N
T400684,,,N,,Y
T400685,,,N,,N
T400686,,,N,,Y
T400687,,,N,,Y
T400688,,,N,,Y
T400689,,,N,,N
T400690,,,N,,Y
T400691,WTY-BUYBACK,GW-OTHER,N,1253,Y
T400692,,,N,,N
T400693,,,N,,N
T400694,RETURN-QC-OK,GW-OTHER,N,1999,N
T400695,,,N,,N
T400696,,,N,,N
T400697,LOST-TRANSIT,LOST-TRANSIT,N,4999,N
T400698,,,N,,N
T400699,,,N,,N
T400700,,,N,,N
T400701,,,N,,N
T400702,,,N,,Y
T400703,,,N,,N
T400704,,,N,,N
T400705,,,N,,N
T400706,,,N,,N
T400707,,,N,,N
T400708,,,N,,N
T400709,,,N,,N
T400710,,,N,,Y
T400711,,,N,,N
T400712,,,N,,N
T400713,CANCEL,CANCEL,N,1799,N
T400714,,,N,,N
T400715,,,N,,Y
T400716,,,N,,Y
T400717,DOA-REPL,GW-OTHER,N,1799,N
T400718,,,N,,Y
T400719,,,N,,N
T400720,,,N,,N
T400721,,,N,,N
T400722,DOA-REPL,DOA-REPL,N,1529,N
T400723,,,N,,N
T400724,,,N,,N
T400725,PRICE-ADJ,PRICE-ADJ,N,200,N
T400726,,,N,,Y
T400727,,,N,,N
T400728,DOA-REPL,GW-OTHER,N,2499,Y
T400729,,,N,,N
T400730,,,N,,N
T400731,,,N,,N
T400732,,,N,,N
T400733,,,N,,Y
T400734,RETURN-QC-OK,RETURN-QC-OK,N,2249,Y
T400735,,,N,,N
T400736,,,N,,N
T400737,,,N,,N
T400738,,,N,,Y
T400739,,,N,,N
T400740,,,N,,Y
T400741,,,N,,N
T400742,,,N,,N
T400743,,,N,,Y
T400744,,,N,,N
T400745,,,N,,N
T400746,RETURN-QC-OK,GW-OTHER,N,5949,N
T400747,WTY-BUYBACK,WTY-BUYBACK,N,3221,Y
T400748,,,N,,N
T400749,,,N,,Y
T400750,DOA-REPL,GW-OTHER,N,1799,N
T400751,,,N,,Y
T400752,,,N,,N
T400753,CANCEL,CANCEL,N,2249,N
T400754,,,N,,N
T400755,,,N,,Y
T400756,LOST-TRANSIT,LOST-TRANSIT,N,6499,N
T400757,,,N,,N
T400758,GW-OTHER,GW-OTHER,N,400,Y
T400759,,,N,,Y
T400760,PRICE-ADJ,PRICE-ADJ,N,500,N
T400761,,,N,,N
T400762,,,N,,N
T400763,,,N,,Y
T400764,,,N,,Y
T400765,,,N,,N
T400766,,,N,,N
T400767,,,N,,Y
T400768,,,N,,N
T400769,DOA-REPL,GW-OTHER,N,5399,N
T400770,,,N,,N
T400771,,,N,,N
T400772,,,N,,Y
T400773,,,N,,Y
T400774,,,N,,N
T400775,,,N,,N
T400776,,,N,,N
T400777,PRICE-ADJ,PRICE-ADJ,N,200,N
T400778,,,N,,N
T400779,,,N,,N
T400780,,,N,,N
T400781,RETURN-QC-OK,GW-OTHER,N,1619,N
T400782,RETURN-QC-OK,RETURN-QC-OK,N,2374,Y
T400783,,,N,,N
T400784,,,N,,N
T400785,,,N,,Y
T400786,,,N,,N
T400787,DOA-REPL,DOA-REPL,N,2249,Y
T400788,PRICE-ADJ,PRICE-ADJ,N,300,N
T400789,,,N,,N
T400790,,,N,,Y
T400791,,,N,,Y
T400792,RETURN-QC-OK,RETURN-QC-OK,N,1912,N
T400793,,,N,,N
T400794,,,N,,N
T400795,DOA-REPL,DOA-REPL,N,6299,N
T400796,,,N,,N
T400797,,,N,,Y
T400798,,,N,,Y
T400799,,,N,,N
T400800,,,N,,N
T400801,,,N,,N
T400802,,,N,,N
T400803,,,N,,N
T400804,,,N,,N
T400805,RETURN-QC-OK,RETURN-QC-OK,N,6499,N
T400806,,,N,,N
T400807,,,N,,N
T400808,,,N,,N
T400809,,,N,,N
T400810,,,N,,Y
T400811,DUP-PAYMENT,GW-OTHER,N,2124,Y
T400812,DOA-REPL,GW-OTHER,N,1799,Y
T400813,,,N,,N
T400814,,,N,,N
T400815,LOST-TRANSIT,GW-OTHER,N,2499,Y
T400816,,,N,,N
T400817,,,N,,N
T400818,,,N,,Y
T400819,,,N,,N
T400820,,,N,,N
T400821,,,N,,Y
T400822,,,N,,Y
T400823,LOST-TRANSIT,LOST-TRANSIT,N,1039,N
T400824,,,N,,N
T400825,,,N,,N
T400826,,,N,,N
T400827,,,N,,Y
T400828,,,N,,N
T400829,,,N,,N
T400830,,,N,,N
T400831,,,N,,N
T400832,,,N,,Y
T400833,,,N,,N
T400834,,,N,,N
T400835,,,N,,N
T400836,,,N,,N
T400837,DOA-REPL,GW-OTHER,N,6999,N
T400838,,,N,,N
T400839,,,N,,N
T400840,,,N,,N
T400841,,,N,,N
T400842,,,N,,N
T400843,,,N,,N
T400844,,,N,,Y
T400845,,,N,,N
T400846,,,N,,N
T400847,,,N,,N
T400848,,,N,,N
T400849,,,N,,N
T400850,,,N,,N
T400851,,,N,,N
T400852,,,N,,N
T400853,,,N,,Y
T400854,,,N,,Y
T400855,,,N,,N
T400856,,,N,,N
T400857,,,N,,Y
T400858,,,N,,N
T400859,,,N,,Y
T400860,,,N,,N
T400861,,,N,,N
T400862,,,N,,N
T400863,,,N,,N
T400864,,,N,,Y
T400865,LOST-TRANSIT,LOST-TRANSIT,N,1439,Y
T400866,,,N,,N
T400867,,,N,,N
T400868,,,N,,N
T400869,,,N,,N
T400870,,,N,,N
T400871,,,N,,N
T400872,,,N,,N
T400873,DOA-REPL,GW-OTHER,N,2374,Y
T400874,,,N,,N
T400875,RETURN-QC-OK,GW-OTHER,N,4249,N
T400876,,,N,,Y
T400877,,,N,,N
T400878,,,N,,N
T400879,,,N,,N
T400880,,,N,,N
T400881,,,N,,Y
T400882,CANCEL,GW-OTHER,N,1299,N
T400883,,,N,,N
T400884,,,N,,Y
T400885,,,N,,Y
T400886,,,N,,Y
T400887,DOA-REPL,GW-OTHER,N,13298,N
T400888,,,N,,N
T400889,,,N,,Y
T400890,,,N,,N
T400891,,,N,,Y
T400892,,,N,,N
T400893,,,N,,N
T400894,,,N,,N
T400895,,,N,,Y
T400896,,,N,,N
T400897,DOA-REPL,GW-OTHER,N,2124,N
T400898,,,N,,N
T400899,,,N,,Y
T400900,,,N,,N
T400901,GW-OTHER,GW-OTHER,N,500,Y
T400902,,,N,,N
T400903,,,N,,Y
T400904,,,N,,N
T400905,,,N,,N
T400906,,,N,,N
T400907,,,N,,Y
T400908,,,N,,N
T400909,CANCEL,GW-OTHER,N,2499,N
T400910,,,N,,Y
T400911,,,N,,Y
T400912,,,N,,N
T400913,,,N,,Y
T400914,,,N,,Y
T400915,,,N,,N
T400916,,,N,,Y
T400917,,,N,,Y
T400918,,,N,,N
T400919,,,N,,N
T400920,,,N,,N
T400921,,,N,,N
T400922,RETURN-QC-OK,GW-OTHER,N,6174,Y
T400923,GW-OTHER,GW-OTHER,N,300,N
T400924,,,N,,N
T400925,,,N,,Y
T400926,,,N,,N
T400927,,,N,,N
T400928,,,N,,N
T400929,,,N,,N
T400930,,,N,,N
T400931,,,N,,N
T400932,,,N,,N
T400933,,,N,,Y
T400934,,,N,,Y
T400935,,,N,,Y
T400936,,,N,,N
T400937,,,N,,N
T400938,,,N,,N
T400939,DUP-PAYMENT,DUP-PAYMENT,N,6174,Y
T400940,GW-OTHER,GW-OTHER,N,150,N
T400941,,,N,,N
T400942,,,N,,Y
T400943,,,N,,N
T400944,,,N,,N
T400945,,,N,,Y
T400946,,,N,,N
T400947,,,N,,N
T400948,,,N,,N
T400949,,,N,,Y
T400950,,,N,,N
T400951,GW-OTHER,GW-OTHER,N,200,N
T400952,LOST-TRANSIT,GW-OTHER,N,5849,N
T400953,,,N,,Y
T400954,,,N,,Y
T400955,,,N,,N
T400956,,,N,,Y
T400957,,,N,,Y
T400958,CANCEL,CANCEL,N,1199,Y
T400959,,,N,,N
T400960,,,N,,N
T400961,,,N,,N
T400962,,,N,,N
T400963,,,N,,Y
T400964,GW-OTHER,GW-OTHER,N,200,N
T400965,DOA-REPL,GW-OTHER,N,6649,N
T400966,PRICE-ADJ,PRICE-ADJ,N,500,Y
T400967,,,N,,N
T400968,,,N,,N
T400969,,,N,,N
T400970,,,N,,N
T400971,,,N,,N
T400972,,,N,,N
T400973,,,N,,Y
T400974,,,N,,Y
T400975,,,N,,N
T400976,,,N,,Y
T400977,,,N,,N
T400978,,,N,,Y
T400979,,,N,,N
T400980,,,N,,Y
T400981,,,N,,Y
T400982,,,N,,N
T400983,RETURN-QC-OK,GW-OTHER,N,6299,Y
T400984,,,N,,N
T400985,,,N,,N
T400986,CANCEL,CANCEL,N,2249,Y
T400987,LOST-TRANSIT,LOST-TRANSIT,N,1799,N
T400988,,,N,,N
T400989,,,N,,N
T400990,,,N,,N
T400991,,,N,,Y
T400992,,,N,,Y
T400993,,,N,,Y
T400994,RETURN-QC-OK,RETURN-QC-OK,N,5599,N
T400995,CANCEL,GW-OTHER,N,6999,N
T400996,,,N,,N
T400997,,,N,,N
T400998,,,N,,N
T400999,,,N,,Y
T401000,RETURN-QC-OK,GW-OTHER,N,13998,N
T401001,,,N,,N
T401002,,,N,,Y
T401003,RETURN-QC-OK,RETURN-QC-OK,N,5599,N
T401004,,,N,,Y
T401005,,,N,,N
T401006,,,N,,N
T401007,,,N,,N
T401008,,,N,,N
T401009,LOST-TRANSIT,GW-OTHER,N,2499,N
T401010,RETURN-QC-OK,GW-OTHER,N,1234,Y
T401011,,,N,,N
T401012,,,N,,N
