ticket_id,created_at,first_response_at,resolved_at,status,channel,customer_id,order_id,product_sku,category,priority,assigned_team,agent_id,transfers,csat_score,refund_amount_inr,refund_reason_code,replacement_issued,customer_message,agent_notes,source_system
T400062,2025-01-06 04:22:08,2025-01-06 04:25:08,2025-01-06 03:01:09,resolved,chat,C103963,VR903097,VA-AC-CBL,Product fault,Low,Email Frontline,A3021,,4,,,N,Firmware update fails at 60%.,Walked customer through app update. Issue closed.,legacy_fd
T408472,2025-01-06 10:59:53,2025-01-06 13:11:36,2025-01-07 09:29:18,resolved,social,C100652,,VA-SW-NX1,Delivery,Normal,Voice Frontline,A3023,,,,,N,"Invoice shows wrong name, please correct.",Invoice reissued.,legacy_fd
T400042,2025-01-06 12:49:48,2025-01-06 14:42:15,2025-01-06 16:56:07,resolved,email,C106295,VR895817,VA-HP-ST3,How-to,High,Chat Frontline,A3008,,,,,N,How do I pair Strata 3 Over-Ear Headphones with my phone? Blinking red only.,Walked customer through app update. Issue closed.,legacy_fd
T400024,2025-01-06 12:58:07,2025-01-06 13:53:34,2025-01-07 04:37:27,resolved,chat,C103760,VR894010,VA-SP-ORB,Delivery,Low,Email Frontline,A3019,,,,,N,Delivery agent asking for extra charge.,"Escalated to logistics, delivered next day.",legacy_fd
T400079,2025-01-06 15:34:14,2025-01-06 20:34:06,2025-01-06 21:17:32,resolved,email,C103541,VR909920,VA-SW-FIT,Billing,Low,Chat Frontline,A3014,,5,,,N,"Invoice shows wrong name, please correct.",Invoice reissued.,legacy_fd
T400017,2025-01-06 17:46:11,2025-01-06 17:50:33,2025-01-06 18:53:57,closed,chat,C102619,,VA-AC-CH65,Product fault,High,Email Frontline,A3016,,,,,N,Please resend my order invoice.,Invoice reissued.,legacy_fd
T400046,2025-01-06 18:43:58,2025-01-06 18:46:05,2025-01-07 09:52:18,resolved,chat,C101583,VR896933,VA-EB-PL1,Warranty,Low,Logistics,A3030,,,,,Y,"Pulse True Wireless Earbuds screen flickering, in warranty.","Raised RMA, repair done in service centre. Customer satisfied.",legacy_fd
T408816,2025-01-06 19:12:07,2025-01-06 21:15:50,2025-01-07 05:12:03,resolved,social,C109470,,VA-SP-ORB,Account,Normal,Chat Frontline,A3012,,3,,,N,What is the battery life on Orbit Smart Speaker?,Answered compatibility question.,legacy_fd
T400047,2025-01-06 21:02:52,2025-01-06 21:03:56,2025-01-06 22:59:27,resolved,chat,C106063,VR898209,VA-SW-FIT,Delivery,Low,Chat Frontline,A3033,,4,,,N,Where is my order? Tracking not updating.,Informed customer of delay; delivered.,legacy_fd
T400135,2025-01-06 21:41:34,2025-01-06 21:42:30,2025-01-07 02:03:21,resolved,chat,C107566,VR884038,VA-EB-AIR,Warranty,Low,Escalations & Warranty,A3043,,,71300,GW-OTHER,N,"Battery dies within an hour, been to the service centre twice. Want buyback.",cx happy,legacy_fd
T409068,2025-01-07 04:20:00,2025-01-07 05:20:39,2025-01-07 15:37:09,resolved,chat,C104309,,VA-EB-AIR,How-to,Normal,Returns Desk,A3036,,2,179900,GW-OTHER,N,DOA unit. Tried 3 cables. Nothing. Refund me.,Refunded.,legacy_fd
T408533,2025-01-07 04:28:44,2025-01-07 07:35:06,2025-01-07 08:11:51,closed,social,C107511,,VA-AC-CH65,Delivery,Normal,Chat Frontline,A3007,,,,,N,Delivery agent asking for extra charge.,"Shared updated tracking, courier ETA confirmed.",legacy_fd
T408533,2025-01-07 04:28:44,2025-01-07 07:35:06,2025-01-07 08:11:51,closed,social,C107511,,VA-AC-CH65,Delivery,Normal,Chat Frontline,A3007,,,,,N,Delivery agent asking for extra charge.,"Shared updated tracking, courier ETA confirmed.",helpdesk
T408925,2025-01-07 05:09:26,2025-01-07 07:49:37,2025-01-07 20:12:00,resolved,email,C104689,,VA-AC-CASE,Delivery,Normal,Voice Frontline,A3023,,,,,N,Where is my order? Tracking not updating.,"Escalated to logistics, delivered next day.",legacy_fd
T400089,2025-01-07 12:22:52,2025-01-08 18:33:22,2025-01-09 09:50:04,resolved,email,C109162,VR892530,VA-EB-AIR,Account,Normal,Returns Desk,A3038,,4,,,N,Is AirLite Earbuds compatible with iPhone?,Shared spec details with customer.,legacy_fd
T406650,2025-01-07 14:53:05,2025-01-07 16:06:54,2025-01-08 14:38:54,resolved,voice,C108061,,VA-EB-PL1,Billing,High,Email Frontline,A3016,,,,,N,Need GST invoice for my order.,GST invoice shared.,legacy_fd
T400069,2025-01-07 15:18:24,2025-01-07 15:24:33,2025-01-08 11:57:14,resolved,chat,C103729,VR887645,VA-SW-FIT,Returns,High,Billing,A3032,,3,399800,DUP-PAYMENT,N,"Money got deducted two times, only one order placed.",PG shows two captures for one order. Refund of duplicate raised.,legacy_fd
T400116,2025-01-07 23:31:41,2025-01-07 23:50:07,2025-01-08 23:54:24,resolved,voice,C105614,VR909875,VA-HP-ST3,Billing,Normal,Chat Frontline,A3031,,,,,N,What is the battery life on Strata 3 Over-Ear Headphones?,Answered compatibility question.,legacy_fd
T409072,2025-01-08 00:45:33,2025-01-08 00:48:13,2025-01-08 21:21:22,resolved,chat,C101940,,VA-AC-CASE,Account,Normal,Email Frontline,A3016,,,,,N,Is Pulse Charging Case (spare) compatible with iPhone?,Answered compatibility question.,legacy_fd
T408873,2025-01-08 04:32:32,2025-01-08 05:56:33,,pending,voice,C106169,,VA-SW-FIT,How-to,Normal,Chat Frontline,A3008,,,,,N,Does Nexa Fit Band come with a charger in the box?,Answered compatibility question.,legacy_fd
T407628,2025-01-08 08:43:13,2025-01-08 08:48:44,2025-01-08 08:48:49,resolved,chat,C105710,,VA-SW-NX1,How-to,Low,Chat Frontline,A3014,,,,,N,"Invoice shows wrong name, please correct.",Sent corrected invoice on email.,legacy_fd
T400117,2025-01-08 08:58:49,2025-01-08 09:08:54,2025-01-09 04:12:08,resolved,chat,C105582,VR883342,VA-AC-CBL,Account,High,Voice Frontline,A3038,,4,,,N,Is USB-C Braided Cable compatible with iPhone?,Shared spec details with customer.,legacy_fd
T400027,2025-01-08 10:40:55,2025-01-08 11:29:44,2025-01-08 16:45:30,resolved,voice,C102314,VR907084,VA-HP-ST3,Delivery,Normal,Email Frontline,A3019,,,,,N,When will Strata 3 Over-Ear Headphones be delivered?,Informed customer of delay; delivered.,legacy_fd
T408544,2025-01-08 11:46:22,2025-01-08 16:28:04,,open,email,C100488,,VA-EB-PL2,How-to,Normal,Voice Frontline,A3001,,,30000,PRICE-ADJ,N,The coupon didn't apply at checkout but it was valid. I paid extra.,Coupon adjustment processed as per pricing team.,legacy_fd
T407822,2025-01-08 12:12:37,2025-01-08 12:14:35,2025-01-08 09:09:08,resolved,chat,C104319,,VA-EB-AIR,Billing,Low,Chat Frontline,A3013,,5,,,N,"Invoice shows wrong name, please correct.",GST invoice shared.,legacy_fd
T406942,2025-01-08 14:10:22,2025-01-08 14:22:24,2025-01-09 08:57:44,resolved,voice,C101353,,VA-SW-FIT,How-to,High,Email Frontline,A3018,,,,,N,How do I pair Nexa Fit Band with my phone? Blinking red only.,"Explained pairing steps, resolved.",legacy_fd
T400033,2025-01-08 18:10:42,2025-01-08 19:46:15,2025-01-08 23:08:13,resolved,voice,C105227,,VA-SP-ORB,Delivery,Normal,Chat Frontline,A3008,,,,,N,Please resend my order invoice.,Sent corrected invoice on email.,legacy_fd
T407393,2025-01-08 18:37:56,2025-01-08 18:45:38,2025-01-09 12:22:57,resolved,chat,C106029,,VA-NB-ARC,Warranty,Normal,Email Frontline,A3035,,,,,N,"Arc Neckband screen flickering, in warranty.","Raised RMA, repair done in service centre. Customer satisfied.",legacy_fd
T400127,2025-01-09 00:51:09,2025-01-09 01:00:13,2025-01-08 20:19:00,resolved,chat,C108964,VR909167,VA-HP-ST3,Warranty,Low,Chat Frontline,A3026,,4,,,N,Left earbud crackling after 4 months.,Sent for repair under warranty. Returned to customer.,legacy_fd
T400122,2025-01-09 02:47:55,2025-01-09 02:49:47,2025-01-09 12:19:48,resolved,voice,C102166,VR899174,VA-HP-ST3,Account,Normal,Chat Frontline,A3001,,3,,,N,Does Strata 3 Over-Ear Headphones come with a charger in the box?,"Info provided, no further action.",legacy_fd
T408752,2025-01-09 04:41:22,2025-01-09 19:39:23,2025-01-10 11:38:33,resolved,social,C104659,,VA-SP-MINI,How-to,Normal,Email Frontline,A3019,,2,,,N,Firmware update fails at 60%.,Walked customer through app update. Issue closed.,legacy_fd
T400087,2025-01-09 06:05:09,2025-01-09 06:46:57,,pending,social,C106329,VR885194,VA-NB-ARC,How-to,Normal,Voice Frontline,A3025,,,,,N,Firmware update fails at 60%.,Walked customer through app update. Issue closed.,legacy_fd
T407813,2025-01-09 06:21:49,2025-01-09 09:09:20,2025-01-09 11:38:01,resolved,social,C104023,,VA-SW-NX1,Billing,Normal,Voice Frontline,A3026,,,,,N,Need GST invoice for my order.,GST invoice shared.,legacy_fd
T407295,2025-01-09 10:42:29,2025-01-09 10:45:34,2025-01-09 12:50:09,resolved,chat,C106896,,VA-AC-CASE,Account,High,Chat Frontline,A3012,,,,,N,Does Pulse Charging Case (spare) come with a charger in the box?,Answered compatibility question.,legacy_fd
T408980,2025-01-09 12:42:22,2025-01-09 12:52:58,2025-01-09 15:48:16,resolved,chat,C108727,,VA-NB-ARC,Account,High,Returns Desk,A3037,,,,,N,Does Arc Neckband come with a charger in the box?,Answered compatibility question.,legacy_fd
T400112,2025-01-09 14:33:18,2025-01-09 14:43:26,2025-01-09 11:14:49,closed,chat,C102366,VR899976,VA-HP-ST2,Billing,Normal,Logistics,A3030,,,,,Y,"Strata 2 Over-Ear Headphones screen flickering, in warranty.",Sent for repair under warranty. Returned to customer.,legacy_fd
T400091,2025-01-09 16:33:24,2025-01-09 17:23:25,2025-01-09 17:46:39,resolved,voice,C104499,VR898700,VA-SP-ORB,How-to,Low,Chat Frontline,A3014,,4,,,N,Unable to connect Orbit Smart Speaker to the app.,Guided through reset and re-pair. Working now.,legacy_fd
T406857,2025-01-09 17:10:27,2025-01-09 17:22:11,2025-01-10 07:26:42,closed,chat,C108719,,VA-HP-ST3,How-to,Low,Returns Desk,A3037,,3,699900,GW-OTHER,N,"Bought Strata 3 Over-Ear Headphones from vireo.in, doesn't power up out of the box. I don't want another one, just refund.","faulty from the start (dead on arival), cust refused exchange, amt returned",legacy_fd
T400097,2025-01-09 18:39:35,2025-01-09 18:45:28,2025-01-10 14:09:22,resolved,chat,C102579,VR890106,VA-EB-AIR,Warranty,Normal,Chat Frontline,A3006,,,,,N,Battery draining fast on my AirLite Earbuds.,"Raised RMA, repair done in service centre. Customer satisfied.",legacy_fd
T400028,2025-01-09 18:58:47,2025-01-09 20:23:38,2025-01-09 22:45:56,resolved,voice,C101142,VR881669,VA-EB-AIR,Returns,Normal,Returns Desk,A3037,,3,179900,GW-OTHER,N,"Cancel my order asap, changed my mind.","Cancellation accepted, not yet shipped. Refunded.",legacy_fd
T400012,2025-01-09 20:13:37,2025-01-09 20:55:41,2025-01-10 12:44:55,closed,chat,C103294,VR880431,VA-EB-AIR,Warranty,Normal,Email Frontline,A3022,,,,,N,Left earbud crackling after 4 months.,Warranty replacement approved by Tier 2.,legacy_fd
T400040,2025-01-09 23:09:43,2025-01-09 23:13:04,2025-01-10 06:07:48,resolved,chat,C105575,,VA-SP-ORB,Delivery,Normal,Voice Frontline,A3026,,,,,N,What is the battery life on Orbit Smart Speaker?,Shared spec details with customer.,legacy_fd
T407507,2025-01-10 01:42:16,2025-01-10 02:22:55,2025-01-10 06:41:43,resolved,social,C107094,,VA-SW-FIT,How-to,High,Voice Frontline,A3026,,,,,N,Unable to connect Nexa Fit Band to the app.,Walked customer through app update. Issue closed.,legacy_fd
T400075,2025-01-10 03:39:16,2025-01-10 03:50:25,2025-01-10 05:44:17,resolved,chat,C104732,VR883918,VA-HP-ST3,How-to,Normal,Billing,A3033,,,,,N,How do I pair Strata 3 Over-Ear Headphones with my phone? Blinking red only.,Guided through reset and re-pair. Working now.,legacy_fd
T408726,2025-01-10 04:08:01,2025-01-10 04:15:48,2025-01-11 01:50:21,resolved,chat,C105039,,VA-SW-NX1,Delivery,Normal,Voice Frontline,A3026,,,,,N,Delivery agent asking for extra charge.,"Shared updated tracking, courier ETA confirmed.",legacy_fd
